keywords,comments,years,trans_comments
韓国旅行,めちゃくちゃ楽しそうーー羨ましいーー,2023,엄청나게 즐거울 것 같아서 부러워요~ 부러워요~!
韓国旅行,やっぱとうあお団子が1番似合ってる,2023,역시 동아오츠카 만두가 제일 잘 어울려요!
韓国旅行,綾ちゃん買いでって言ってる,2023,아야짱이 사라고 한다
韓国旅行,にこちゃんの目線で本当に優しい子のだよね,2023,니코짱의 눈높이에서 보면 정말 착한 아이죠?
韓国旅行,なんかにこちゃん可愛すぎんなに,2023,왠지 모르게 너무 귀여워요
韓国旅行,ニコちゃんのお洋服どこのか気になる,2023,니코의 옷이 어디 있는지 궁금하다
韓国旅行,あんた達は人生楽しそうでいいよね 辛いことなんてないよね 人生楽してるよね,2023,"너희들은 인생이 즐거워 보여서 좋구나, 힘든 일이 없구나, 인생이 즐거워 보여서 좋구나."
韓国旅行,大好きメンツ,2023,좋아하는 멘츠
韓国旅行,とうあのヘッドホン中町綾とおんなじよなちっちゃ見えるわ,2023,토우아 헤드폰 나카마치 아야와 똑같은 요나치챠가 보인다!
韓国旅行,アイスの次に行ったお店の名前知りたい今週韓国行くから行きたい,2023,아이스 다음으로 간 가게 이름 알고 싶어요 이번 주에 한국 갈 거니까 가고 싶어요
韓国旅行,たかし最高,2023,다카시 최고
韓国旅行,韓国旅行動画待ってました もうこの4人組は最高の組み合わせ,2023,한국여행 영상 기다렸어요 벌써 이 4인방은 최고의 조합입니다!
韓国旅行,まじで笑い止まんないwwwwww,2023,진짜 웃음이 멈추지 않는다wwwwwwwwww
韓国旅行,開拓は爆笑,2023,개척은 폭소
韓国旅行,この4人はもう最強なのよ そしてにこちゃんサングラス似合ってるかわあい,2023,이 네 명은 이미 최강이야 그리고 니코짱 선글라스도 잘 어울려서 귀엽다!
韓国旅行,ずっと見てられる  ,2023,계속 지켜볼 수 있는
韓国旅行,もはや日本に旅行ってくらい海外行って楽しそう,2023,더 이상 일본을 여행하는 것만큼이나 해외여행이 즐거울 것 같다.
韓国旅行,まってガチたかしやん爆笑爆笑たかしだいすきかっこいい,2023,웃음이 터질 듯이 터질 듯이 멋지다!
韓国旅行,まさかまたタカシ見れるとは,2023,설마 또 타카시를 볼 수 있을 줄이야
韓国旅行,開拓って感じしぬwwwwww,2023,개척이란 느낌 안나네wwwwww
韓国旅行,まじで面白すぎる このメンツ最強すぎんか,2023,진짜 너무 재미있네 이 멘트 너무 강하냐?
韓国旅行,韓国いつ行ってたの 私もストーリー上がってる時行ってたよ,2023,한국 언제 갔었어? 나도 스토리 올라왔을 때 갔었어!
韓国旅行,4人揃ったらずっとおもろい笑,2023,4명이 모이면 훨씬 더 재미있어요ㅋㅋㅋ
韓国旅行,こーゆー大人数テンション面白いと思わないから面白いと思えてうらやましい もし私ならとうあと2人旅とかのが楽しいって思っちゃう 昨日嬉しかったことあったlineのアイコン綾ちゃんにしてたら誰これ自撮りって言われたwww,2023,이런 대인원 텐션은 재미없다고 생각하기 때문에 재미있다고 생각하니 부럽다 나 같으면 둘이서 여행 같은 게 재미있을 것 같다는 생각이 든다 어제 기쁜 일이 있었는데 LINE의 아이콘 아야짱이랑 셀카 찍고 있는데 누구야 이거 셀카냐고 물어보더라www
韓国旅行,最高ちゃんねる 空港の昔のプリのくだり分かんのwww 腹よぎれる笑,2023,최고짱ねる 공항의 옛날 프리의 헛소리를 알아듣지 못함 ㅋㅋㅋㅋ 배꼽 빠지는 웃음
韓国旅行,やばいですまじ最高ですあやちゃんの全員の話をちゃんと聞いて自分の意見もちゃんと言って誰が言ったことも否定せずちゃんと肯定して話せるのがほんとすごいです   ,2023,진짜 최고입니다 아야짱의 모든 사람의 이야기를 제대로 듣고 자신의 의견도 제대로 말하고 누가 말한 것도 부정하지 않고 제대로 긍정하며 이야기할 수 있는 것이 정말 대단합니다!
韓国旅行,開拓で吹いた,2023,개척으로 불었다
韓国旅行,ストーリーみてからまじでつべ出るの楽しみにしてた,2023,스토리를 보고 나서 진짜로 튀어나오는 걸 기대하고 있었어요!
韓国旅行,綾ちゃんりほちゃんにこちゃんとうあちゃんもう最高なメンツちょっとイライラしたことあったんだけどそんなもん吹き飛んだありがとーそしてこの4人が揃ったら面白くない訳ないのよ,2023,아야짱 리호짱에 코코짱 토우아짱이랑 최고인 멤버들 좀 짜증났던 적이 있었는데 그런 거 날려버렸어 고마워요~ 그리고 이 4명이 모이면 재미없을 리가 없지!
韓国旅行,2249 私だったら青にしますなぜなら安倍さんを生き返してまた総理になってほしいからです,2023,2249 저라면 파란색을 선택하겠습니다. 왜냐하면 아베 씨가 다시 살아나서 다시 총리가 되었으면 좋겠기 때문입니다.
韓国旅行,マジこのメンバー最高なんよ マジおもろい次韓国行く時は呼んでな,2023,진짜 이 멤버들 최고야 진짜 재밌어 다음에 한국 갈 때 불러줘!
韓国旅行,このメンバー絶対楽しいやつ 単体で可愛くて面白い4人が集まるとか 最強昔のプリのポーズ懐かしい 電車とかやったなー,2023,이 멤버 절대 재밌을 듯. 혼자서도 귀엽고 재밌는 4명이 모인다거나 최강 옛날 프리 포즈 그리운 기차 같은 거 했네~!
韓国旅行,幸せそうで羨ましいな,2023,행복해 보여서 부럽다
韓国旅行,この4人の揃う動画とかマジ最強1時間以上尺あってもいい,2023,이 4명이 모인 영상이라든지 진짜 최강 1시간 이상 길이도 괜찮다.
韓国旅行,ああたかしと平フラの絡み転載最高しぬだいすき,2023,아타카시와 히라후라의 얽히고 설킨 전재 최고 시누다이스키!
韓国旅行,とうあ横顔可愛すぎる,2023,토아 옆모습이 너무 귀엽다
韓国旅行,このメンツは神面白いの確定 同い年じゃないのにみんな同い年くらい会話が弾んでたり雰囲気が似てるし4人がハマってる感じある,2023,이 멤버는 정말 재미있음 확정 동갑이 아닌데도 다들 동갑 정도 대화가 잘 통하고 분위기도 비슷하고 4명이 다 같이 빠져있는 느낌이다.
韓国旅行,この4人で韓国はもう神回 永遠見てれる腹ちぎれるくらい笑える,2023,이 4인방으로 대한민국은 이제 신 회 영원히 볼 수 있는 배꼽 빠지게 웃기다
韓国旅行,昔のプリのポーズはほぼやってましたそれにニコちゃんツボすぎます,2023,"옛날 프리의 포즈는 거의 다 했어요, 게다가 니코짱은 너무 잘 어울려요!"
韓国旅行,たかしかっこよ,2023,다카시 멋지다
韓国旅行,兵フラとタカシが一緒にいるのが嬉しすぎる,2023,병후라와 타카시가 함께 있는 것이 너무 행복하다.
韓国旅行,こんな友達に欲しい見てるだけで幸せになれる,2023,이런 친구가 있으면 보고만 있어도 행복해진다
韓国旅行,このメンツらぶすぎるアゲ,2023,이 멘츠라부쿠로 아게
韓国旅行,にこちゃんまじおもろい笑笑笑笑笑笑,2023,니코짱 진짜 웃기다ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
韓国旅行,若いうちから健康を第一に考えられるってすごいことだよ,2023,젊어서부터 건강을 최우선으로 생각한다는 것은 대단한 일이에요!
韓国旅行,みなみちゃんと一緒の運転手と翻訳のひとじゃない,2023,미나미짱과 함께한 운전기사와 번역가가 아닌
韓国旅行,綾ちゃんすごい楽しそうで嬉しいかわいい,2023,아야짱이 너무 즐거워 보여서 기쁘고 귀엽다!
韓国旅行,2個目のお店なんて名前ですか,2023,두 번째 가게 이름이 뭐예요?
韓国旅行,旅行の頻度上がった気がする笑 いーなーこのメンツで行けるの 買い物が参考になるからありがたい 1145 ここ決まりすぎて好こ,2023,여행 빈도수가 올라간 것 같아요 ㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ 이 멘트로 갈 수 있다니 쇼핑에 참고가 되니 감사해요 1145 여기 너무 정해져 있어서 좋아요
韓国旅行,よにんさいきょうすぎてすこ,2023,요닌사이쿄 지나서 수코
韓国旅行,あやちゃんの相槌が優しい,2023,아야짱의 다정한 말투
韓国旅行,1112 開拓わらったwwwwww,2023,1112 개척된 wwwwwwwwww
韓国旅行,飛行機乗る前からオモロいねんけどwww最後まで見るのお腹持たんww,2023,비행기 타기 전부터 재미있긴 하지만 끝까지 보는 게 배부르지 않네요www
韓国旅行,絶対に最高な1日にしようねって言ってる4人可愛すぎる全国民明日からこれを合言葉に毎日過ごそ笑,2023,절대적으로 최고의 하루를 만들자고 말하는 4명의 너무 귀여운 전국민 내일부터 이 말을 표어로 삼아 매일을 보내자 ㅋㅋ
韓国旅行,動画化まってた,2023,영상화되어 있었다
韓国旅行,負けやだぁっていうとうあの妹感と次は勝ちにしよっていう3人のお姉ちゃん感いい,2023,"지는 건 싫다는 언니의 동생감, 다음엔 꼭 이기자는 세 언니의 언니감이 좋다."
韓国旅行,呪文キツくて楽しい 友達とやりたい,2023,주문이 힘들고 재미있어서 친구와 함께 하고 싶다
韓国旅行,たかはしたかしだがしかし,2023,다카시타카시지만 그러나
韓国旅行,メンツ最高すぎwみゆちゃんも今度うつってほしいなー,2023,멘트 너무 좋았어요 w 미유짱도 다음번엔 꼭 이겨줬으면 좋겠어요~!
韓国旅行,待ってましたぁぁあストーリー流れててこれ動画無かったら発狂するって思ってました嬉しいいいさすがクイーンyoutuber達,2023,기다리고 기다렸어요 아~ 스토리가 흘러서 이거 영상이 없으면 미쳐버릴 줄 알았어요 기쁘다 좋다 역시 여왕 유튜버들!
韓国旅行,にこちゃんの着てるオーバーオールどちらのものか分かる方いませんか,2023,니코가 입고 있는 오버올이 어느 쪽인지 아는 사람 있나요?
韓国旅行,久しぶりのタカシ嬉しい,2023,오랜만에 반가운 타카시
韓国旅行,年齢が違う4人だからこそ考えが違ったりするけどでもそれがすごいバランス取れてて最高の4人だと思うこの4人の旅行動画最高,2023,나이가 다른 4명이기 때문에 생각이 다르기도 하지만 그 점이 굉장히 균형이 잘 잡혀서 최고의 4인방이라고 생각해요 이 4인방의 여행 영상 최고!
韓国旅行,とうあ遅刻しなかったんだ,2023,"아, 늦지 않았어!"
韓国旅行,たかはしたかしだがしかし の人笑笑,2023,다카시타카시이지만 그러나 사람ㅋㅋㅋ
韓国旅行,愉快すぎる仲間たちwwww,2023,너무 유쾌한 동료들 www
韓国旅行,綾ちゃんと友達だったら絶対楽しいだろうなーーーーっていつも思う,2023,아야와 친구라면 분명 즐거울 것 같다는 생각을 항상 합니다.
韓国旅行,やばたかしなんだっけあー〇〇たかし〇たかしみたいなあん忘れた観直してこよっっ_3 _,2023,야~타카시였나~〇〇타카시〇〇타카시처럼 잊어버린 것들 다시 보고 와야지_3 _
韓国旅行,4人いる時点で楽しいに決まってる,2023,4명이 모이면 재미있을 수밖에 없다
韓国旅行,まさかのタカシ笑ったw,2023,まさかのタカシ笑ったw
韓国旅行,呪文ちゃんと唱えてるの偉w,2023,주문을 잘 외우고 있네요 w
韓国旅行,みんなかわいい 特にとうあちゃんのお団子デコだしマジで良い,2023,다들 귀엽고 특히 토우아짱의 만두 데코는 정말 좋다.
韓国旅行,たかし再びやーん笑,2023,다카시 다시야~ㅋㅋㅋ
韓国旅行,714のにこちゃんの隣を歩いて行く白いポロシャツの男性が中町jpに見えてびっくりした,2023,714노에코짱 옆을 지나가는 하얀 폴로셔츠의 남성이 나카마치 jp로 보여서 깜짝 놀랐다.
韓国旅行,たかしとの絡みもっと見たかったなーー,2023,다카시와의 얽힘을 더 보고 싶었어~!
韓国旅行,健康の話りんりんムキになりすぎじゃね,2023,"건강 이야기, 너무 짜증나지 않나요?"
韓国旅行,好きなメンツきた おもろすぎ,2023,좋아하는 멘트 너무 재미있어요
韓国旅行,平フラとたかしの絡みをまた見れたことがどれだけ嬉しいことか,2023,히라후라와 타카시의 얽히고설킨 모습을 다시 볼 수 있어서 얼마나 기뻤는지!
韓国旅行,中町綾の旅行のモチベ素晴らしい,2023,나카마치 아야의 여행의 동기부여가 훌륭하다
韓国旅行,プリのくだりまじ面白い,2023,プリのくだりまじ面白い
韓国旅行,もう旅行してるのくさwwwwwwうれしい,2023,벌써 여행 중이라니 다행이다!
韓国旅行,中町綾ちゃん久々に見たけどすんごい綺麗可愛すぎる,2023,나카마치 아야야 오랜만에 보는데 너무 예쁘고 귀여워요!
韓国旅行,ストーリーから動画投稿までがマジで早くてめっちゃ嬉しい,2023,"스토리부터 동영상 게시까지 정말 빠르고, 정말 기쁘다."
韓国旅行,昔のプリのポーズのハートのやつが最強に笑いました精一杯やれが腹痛いw,2023,옛날 프리의 포즈 하트 녀석이 가장 강력하게 웃겼어요 최선을 다해서 해봐라 배 아프다 ww
韓国旅行,最初の登場から最高だし愉快な仲間たちって言うのも最高,2023,첫 등장부터 멋지고 유쾌한 친구들이라고 해도 과언이 아니다.
韓国旅行,ほんと最高メンバーまた見たいです,2023,정말 최고 멤버들 또 보고 싶어요!
韓国旅行,今日もだーいすき,2023,오늘도 대~한민국
韓国旅行,バイト終わりに見る綾ちゃん最高,2023,아르바이트 끝나고 보는 아야짱 최고!
韓国旅行,綾ちゃんの笑った時の口がまじでタイプ可愛い,2023,아야짱이 웃을 때 입이 정말 귀엽다.
韓国旅行,いやあの最高です,2023,아니 그 최고입니다!
韓国旅行,ハートのくだり死ぬwwww 確かにでっけぇハート作ってたわ爆笑,2023,하트가 너무 웃겨서 죽겠네 ㅋㅋㅋㅋ 확실히 큰 하트를 만들었네ㅋㅋㅋㅋㅋ
韓国旅行,マジ楽しそうすぎて混じりたい,2023,너무 즐거워 보여서 섞이고 싶다
韓国旅行,昔のプリクラあるあるまじおもろい共感すぎて,2023,옛날 프리큘러스가 너무 재미있어서 너무 공감합니다.
韓国旅行,ニコちゃん可愛いなー脇に直塗り あげ,2023,니코짱 귀엽다~ 옆구리에 바로 칠해줘요!
韓国旅行,あやちゃんめっちゃ楽しそうでこっちも嬉しくなったwww,2023,아야짱이 너무 즐거워 보여서 나도 덩달아 즐거워졌다.
韓国旅行,たかしはアツい,2023,다카시는 뜨겁다
韓国旅行,この4人の旅行最高すぎこのメンバーで月一ぐらいで旅行行って欲しいたかしと再会してて嬉しい,2023,이 4명의 여행이 너무 좋아서 이 멤버로 한 달에 한 번 정도 여행 갔으면 좋겠다는 타카시와 재회해서 반갑다.
韓国旅行,韓国いいですねー旅行楽しんで来てくださいこの四人組大好きです,2023,한국 좋네요~ 여행 잘 다녀오세요 이 네 사람 사랑합니다!
韓国旅行,綾ちゃんの誰かと旅行行く動画めっちゃおもろくてほんと大好きなんだよね,2023,아야짱이 누군가와 여행 가는 영상이 너무 재미있어서 정말 좋아해요!
韓国旅行,マスクしてないで見たらダメだった ニヤケ止まんない,2023,마스크 안 쓰고 보면 안 되는데 웃음이 멈추지 않는다.
韓国旅行,サムネだけで楽しそう 仲の良さが伝わるしあやちゃんふつうに可愛すぎじゃね,2023,"썸네일만 봐도 즐거워 보이는데, 사이가 좋은 게 느껴지고 아야짱이 너무 귀엽다!"
韓国旅行,こういう時とうあとか犬どうしてるんだろ,2023,이럴 때 개는 어떻게 지낼까?
韓国旅行,この4人は最高すぎるよ,2023,이 네 사람은 너무 멋져요!
韓国旅行,この4人が集まってるだけでもう混ぜたら危険いつか旅行してほしいって思ってたからすごい嬉しいですみんな可愛くて大好き,2023,이 4명이 모이는 것만으로도 위험하다 언젠가 여행 갔으면 좋겠다고 생각했는데 정말 기쁘다 다들 너무 귀엽고 사랑스러워요!
韓国旅行,まじ最高すぎる爆笑,2023,진짜 너무 웃겨서 폭소
韓国旅行,このメンツ最高すぎ,2023,이 멘트 너무 좋아요
韓国旅行,車のシーンに写ってる女性みなみちゃんの動画にも出てたよね,2023,자동차 장면에 나오는 여자 미나미짱의 동영상에도 나왔었죠?
韓国旅行,あやちゃんが行くとこのvlog楽しそうすぎて全部行きたくなるだから沖縄ほんとに友達と行くことにしたよ,2023,아야짱이 가면 이 브이로그가 너무 즐거워 보여서 다 가고 싶어져서 오키나와 정말 친구와 함께 가기로 했어요!
韓国旅行,タカシ懐かしいwwwwwwww,2023,타카시 그리운 wwwwwwww
韓国旅行,この4人はほんとに混ぜるな危険すぎておもろい笑笑,2023,이 네 명은 정말 섞으면 안 돼. 너무 위험해서 웃기다.
韓国旅行,開拓しんどwww ,2023,개척신도WWWW
韓国旅行,ハワイ行ったばっかなのにすぐ韓国行っちゃうところ可愛い笑笑,2023,하와이에 다녀온 지 얼마 안 됐는데 바로 한국으로 가는 게 귀엽다.
韓国旅行,この4人はマジで笑いすぎてお腹痛くなるから最高ww,2023,이 4인방은 진짜 너무 웃겨서 배가 아플 정도로 웃겨서 최고다.
韓国旅行,オープニングからおもろいの好き好きすぎるwwwwww,2023,오프닝부터 너무 재미있어서 너무 좋아요wwwwww
韓国旅行,薬のくだり真剣すぎてかわいいwww,2023,약쟁이 진지한 모습이 너무 귀엽다....
韓国旅行,行動力尊敬 大好きなメンツで嬉しい 動画出してくれてありがとう,2023,행동력 존경합니다 좋아하는 멘트여서 기쁘다 동영상 올려줘서 고마워요!
韓国旅行,いや最高,2023,아니 최고
韓国旅行,最高のメンバー,2023,최고의 멤버
韓国旅行,平フラ出てる動画は全部おもろい,2023,평평하게 나오는 동영상은 모두 재미있다
韓国旅行,タカシウェルカムフラワー流石すぎるし日本語めっちゃ上手くなってるしマジでデキる男だな,2023,타카시 웰컴플라워 너무 잘하고 일본어가 너무 잘하고 정말 잘하는 남자다.
韓国旅行,プリあるあるやばいあったあったって声出た,2023,"아차, 아차, 아차, 아차, 아차, 아차, 아차, 아차, 아차, 아차, 아차, 아차, 아차!"
韓国旅行,ハワイに続いて韓国でこのメンバーで最高すぎ,2023,하와이에 이어 한국에서도 이 멤버로 최고다!
韓国旅行,平フラ,2023,히라후라
韓国旅行,とうあがあまりにも男すぎるwwww,2023,도아가 너무 남자답다wwww
韓国旅行,この年の差あるのに感じないけど頼りになるお姉さんとかその時その時に合わせて上手いこと成り立ってるこの4人楽しそうで普通に羨ましい,2023,"나이 차이가 많이 나는데도 불구하고, 나이차이가 느껴지지 않는 든든한 언니라든지, 그때그때 상황에 맞게 잘 어울리는 이 네 사람이 즐거워 보여서 보통 부러운 게 아니다."
韓国旅行,4人とも可愛すぎるし面白すぎるし最高ω,2023,네 사람 모두 너무 귀엽고 너무 재밌고 최고다 ω
韓国旅行,たかし日本語勉強してるから彼女いるのって質問に日本語で今ないですって答えてるの流石すぎる まだ流暢では無いけど平フラと約束して守ってるの素敵,2023,일본어 공부하고 있으니까 여자친구 있냐는 질문에 일본어로 지금 없다고 대답하는 게 너무 멋지다 아직 유창하진 않지만 평후라와 약속을 지키고 있는 게 멋지다.
韓国旅行,4人全員可愛すぎた あいの里めっちゃおもろいよね笑笑 自分も韓国行けるようになりたい,2023,4명이 다 너무 귀여웠어요 아이노사토 너무 재밌어요ㅋㅋㅋ 나도 한국 갈 수 있게 되고 싶어요!
韓国旅行,まってこのガイドさんみなみちゃんが韓国行った時の人と同じだ,2023,이 가이드는 미나미 씨가 한국에 갔을 때와 같은 사람이다.
韓国旅行,喋りが早すぎて早送りみたい,2023,말이 너무 빨라서 빨리감기하고 싶어요
韓国旅行,あやちゃんって人がお話してる時の相槌とか表情がモテる女すぎるかわいい見習いたい,2023,아야짱이라는 사람이 이야기할 때의 말투나 표정이 너무 귀여운 여자를 닮고 싶다.
韓国旅行,私の推しタカシ,2023,나의 추리 타카시
韓国旅行,タカシぃぃぃい,2023,타카시이이이
韓国旅行,最高に面白い,2023,최고로 재미있는
韓国旅行,女の人は恋愛を人生の美学のように語るけど男の人って好きな人と付き合って一緒になりたいって思ってるだけだから温度差があると思うんだよね沢山考えてくれてるってのはいいと思うけど実際男は単純に考えてるからそこ食い違って一緒になれないんじゃないかなって思いました,2023,여자들은 연애를 인생의 미학처럼 이야기하지만 남자들은 좋아하는 사람과 사귀고 함께하고 싶다는 생각만 하기 때문에 온도차가 있는 것 같아요. 많은 생각을 해준다는 건 좋은데 남자들은 단순하게 생각하기 때문에 그 부분이 달라서 함께할 수 없을 것 같다는 생각이 들었죠.
韓国旅行,見る前からこれは絶対おもろいやつだと思った,2023,보기 전부터 이건 절대 재미있을 거라고 생각했다.
韓国旅行,旅行シリーズ好き,2023,여행 시리즈 좋아
韓国旅行,楽しんでていいな,2023,즐기면 좋겠네
韓国旅行,動画まってた,2023,동영상 보기
韓国旅行,にこちゃんがちかわい,2023,니코짱이 귀엽다
韓国旅行,これは嬉しいコラボ,2023,반가운 콜라보레이션!
韓国旅行,たかしカッコよすぎん,2023,다카시쿠카요스긴 (たかしカッコよすぎん)
韓国旅行,愛の里タイムリーで見てたから中さんの鐘の面白さ分かってやばい爆笑,2023,사랑의 마을 적시에 보고 있었기 때문에 나카씨의 종소리 재미 알았음ㅋㅋㅋㅋㅋ
韓国旅行,もうさ無邪気な綾ちゃん可愛すぎて沼,2023,아야짱이 너무 귀여워서 늪에 빠졌어요!
韓国旅行,普通にトークしてるだけで楽しい4人だから定期的に動画撮って欲しい平フラと化学反応最高,2023,"그냥 대화하는 것만으로도 즐거운 4인방이라서 정기적으로 영상 찍어줬으면 좋겠고, 평후라와의 케미스트리도 최고!"
韓国旅行,にこちゃん可愛い,2023,니코짱 귀엽다
韓国旅行,たかしーーーー,2023,다카시ーーーーーㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡ
韓国旅行,みなみちゃんが韓国言ってた時の人じゃない 女の韓国人の人 すごい,2023,미나미짱이 한국이라고 할 때의 사람이 아닌 한국 여자 사람 대단하다!
韓国旅行,ずっと爆笑とうあや最高やけどこの四人も最高すぎる,2023,계속 폭소 토야 최고야 이 네 명도 너무 최고야!
韓国旅行,タカシ再会とか最高すぎる,2023,타카시 재회라니 너무 좋다
韓国旅行,キムさんかな,2023,김씨인가
韓国旅行,タカシー 再会したんだね,2023,타카시 재회했구나
韓国旅行,動画にしてくれて嬉しい 幸せな素敵な動画をありがとうございます,2023,영상으로 만들어줘서 고마워요 행복하고 멋진 영상 감사합니다!
韓国旅行,にこちゃんの眼鏡姿めちゃんこかわいい,2023,니코짱의 안경 쓴 모습이 귀엽다!
韓国旅行,この4人ほんと楽しそうで見てるこっちも笑顔になる あやちゃんありがと,2023,이 네 사람은 정말 즐거워 보여서 보는 나도 미소가 지어진다 아야짱 고마워요!
韓国旅行,この4人最強すぎて大好き,2023,이 4인방이 너무 강해서 너무 좋아
韓国旅行,この4人がそろうとおもろいの確定なんよ,2023,이 4명이 모이면 재미있을 게 확실해!
韓国旅行,年齢差を感じましたwww 平フラの大人な部分が会話の内容に感じました,2023,나이 차이가 느껴졌다www 평소의 대화 내용에서 어른스러운 부분이 느껴졌다.
韓国旅行,韓国の動画待ってたよ,2023,한국 영상 기다렸어요
韓国旅行,美女四人組最高ほんと面白すぎるんよハワイからの韓国めっちゃいいね,2023,미녀 4인방이 너무 재미있어요 하와이에서 온 한국 너무 좋아요!
韓国旅行,この組み合わせ最強大好きです,2023,이 조합이 가장 좋아합니다!
韓国旅行,あやちゃん無邪気でかわいすぎる,2023,아야짱은 너무 순수하고 귀엽다
韓国旅行,ハート精一杯やれが爆笑すぎて無理笑 世代的にもポーズわかりみすぎて笑う,2023,하트 한가득이 너무 웃겨서 못하겠음ㅋㅋㅋ 세대적으로도 포즈 이해도가 너무 높아서 웃음이 난다.
韓国旅行,やばあああいたかはしたかしだがしかし,2023,아이고 아이고 아이고 아이고 그러나 그러나
韓国旅行,4人の動画待ってました あいの里ごっこやろうとかみんなかわいすぎ,2023,4명의 동영상을 기다렸습니다! 아이노사토 놀이를 하자고 하는 등 다들 너무 귀여워요!
韓国旅行,にこちゃんまじかわいいな,2023,니코짱 진짜 귀엽다
韓国旅行,この4組めっちゃ好き,2023,이 4쌍이 너무 좋아요
韓国旅行,あやちゃーん,2023,아야짱
韓国旅行,あやちゃんってほんとに一緒にいたら楽しそう,2023,아야짱은 정말 함께 있으면 즐거울 것 같다!
韓国旅行,この4人最高,2023,이 4인 최고
韓国旅行,たかし腕の筋肉すご笑,2023,다카시 팔 근육 대박ㅋㅋㅋ
韓国旅行,この4人はほんまに最強,2023,이 4인방은 정말 최강!
韓国旅行,おもろすぎて飲んでた牛乳吐き出た爆笑最高です,2023,너무 웃겨서 마신 우유를 토해낸 폭소 최고입니다!
韓国旅行,すごく自然な4人見ていると一緒に旅行している様に楽しい,2023,너무 자연스러운 네 사람을 보고 있으면 마치 함께 여행하는 것 같아 즐겁다.
韓国旅行,やっと搭乗できましたw w w w w wさすが綾ちゃんアホだなあ,2023,드디어 탑승할 수 있었어요 w w w w w w w w 역시 아야짱은 멍청하구나!
韓国旅行,昔のプリの話めちゃくちゃわかるー,2023,옛날 프리 이야기 엄청 잘 알아요~!
韓国旅行,お花持って帰れなくない,2023,꽃은 가져갈 수 없다
韓国旅行,タカハシタカシ出てんのエモ笑,2023,타카하시타카시 나오는 이모님 ㅋㅋ
韓国旅行,この4人だいすきーーー,2023,이 4인방이 좋아
韓国旅行,この4人旅行最高だし 久々のタカシ嬉しい笑,2023,이번 4인 여행은 최고였고 오랜만에 타카시도 기뻐요 ㅋㅋ
韓国旅行,あやちゃん前から可愛いけど最近めっちゃかわいくなった,2023,아야짱은 예전부터 귀여웠지만 최근 엄청나게 귀여워졌어요!
韓国旅行,このメンツ好き,2023,이 멘트를 좋아합니다
韓国旅行,この4人は神回確定なんよ,2023,이 4명은 신회 확정이야!
韓国旅行,カンジャンケジャンの時にこちゃんすごい気を遣って話してるように見える 自分の意見はこれだけど周りが強く言うもんやから合わせるしかないみたいな雰囲気,2023,"깐깐하게 말하는 것 같지만, 내 의견은 이러이러한데 주변에서 강하게 말하니까 어쩔 수 없이 맞춰야 하는 것 같은 분위기."
韓国旅行,伝説の4人すぎる,2023,전설의 4인방
韓国旅行,年齢関係なくお互い信頼感あって心底楽しんでいてすごく良い関係でずっと仲良くしていてほしいガールズ ディズニーにも行って思い出作ってきてほしいまた4人での動画楽しみにしてます,2023,"나이에 상관없이 서로 신뢰감이 있고 진심으로 즐거워하고 정말 좋은 관계로 계속 친하게 지냈으면 좋겠고, 디즈니에도 가서 추억을 쌓고 왔으면 좋겠고, 또 4명이서 찍은 영상도 기대할게요!"
韓国旅行,おー最高の仲間たち,2023,오 최고의 동료들
韓国旅行,たかしまた会えたんだね,2023,다카시 다시 만났구나
韓国旅行,4人可愛いし最高におもろい 絶対楽しい エンディングの綾ちゃんバチ可愛い,2023,4명이 귀엽고 최고로 재미있다 절대적으로 즐겁다 엔딩의 아야짱 벌레가 귀엽다!
韓国旅行,タカシいけめん,2023,다카시이케멘
韓国旅行,ほんっとにこの4人が大好き それとあやちゃんいつも編集早くて凄いお疲れ様です,2023,정말 이 네 분을 사랑해요 그리고 아야짱은 항상 편집이 빨라서 정말 수고 많으세요!
韓国旅行,とうあの語彙力すき,2023,토우아 어휘력 좋아
韓国旅行,りほちゃんの姉貴感たまらん,2023,리호짱의 누나스러움에 반하다
韓国旅行,あやちゃん肌綺麗,2023,아야짱 피부 예쁨
韓国旅行,にこちゃんサングラス似合う,2023,니코짱 선글라스 잘 어울린다
韓国旅行,愉快な仲間たち可愛い笑,2023,유쾌한 동료들 귀여운 웃음
韓国旅行,綾ちゃん可愛いな,2023,아야짱 귀엽다
韓国旅行,にこちサングラス似合う,2023,니코치 선글라스 잘 어울린다
韓国旅行,4人が揃う最強 嬉しい,2023,4명이 모이는 최강 반갑다
韓国旅行,待ってたぁ,2023,기다렸어요
韓国旅行,この4人は最高みんな可愛いしにこちゃんがめっちゃ楽しそうで観てて幸せになれる,2023,이 네 명은 모두 너무 귀엽고 시코가 너무 즐거워 보여서 보고 있으면 행복해진다.
韓国旅行,最高すぎる,2023,너무 좋아요
韓国旅行,一生見ていたい画角,2023,평생 보고 싶은 화각
